Ano,Amazon,eBay,Walmart,AliExpress
1997,0.16141668642560641,,5.420845691394429,
1998,0.7830556863475413,2.2925209204355874,9.731357445792547,
1999,3.453115823723021,7.2321240031529985,16.192191604583982,
2000,2.3266834079746217,6.7116588070279075,17.904617052229625,
2001,0.6100212932834702,5.687106407457782,17.330887136920804,
2002,0.8242063486859912,6.205114985269214,18.45576720389109,
2003,1.887069446226907,10.460557941406492,18.101256586256483,
2004,2.178261908746901,17.903472563577076,18.303015860300217,
2005,1.9948551640624093,16.74290855725606,16.245899499408782,
2006,1.795466137122348,13.902252922969986,15.543572357451298,
2007,3.3614740989122733,14.170305297669186,15.642164625494603,
2008,3.49400197470141,10.259079616531553,18.34961789775743,
2009,4.364091266715337,7.80005747742123,16.850476147636535,
2010,6.957019838075789,10.354170019664462,17.667420629471067,
2011,9.833601175792634,13.139847543504503,18.11781747000558,
2012,11.01518200302124,17.772744106292723,22.40503998565674,
2013,14.901579402741932,22.501820428030832,25.106838635035924,
2014,16.627551608615452,22.481561630491225,25.77579362808712,101.21152718861897
2015,23.90691463909452,25.851771596878294,24.163703691391717,81.72412674010747
2016,34.97615664345877,27.067579360235307,23.182354541051957,84.51742061736091
2017,48.40835056076962,35.06171319969147,26.32079682977076,141.7917926074024
2018,82.08630852870257,36.0619124986261,30.789946939840735,175.88438208834583
2019,89.4594602433462,37.183571459755065,36.135185234130375,175.15642916967
2020,134.04275452383894,45.91426883290408,43.2004479268794,239.8837947317734
2021,167.19334932357546,66.04150797828795,47.21712955595955,198.1908730703687
2022,126.0988188055882,48.18478085035347,46.07671986918051,96.76358559597061
2023,121.3728003540039,44.04547987365723,51.02494670104981,89.6935199584961
2024,184.62869050767688,54.78257925548251,70.2836505193559,81.67234114995078
2025,214.76191412090685,77.3790908886485,97.15095709841788,127.50220077003588
