Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BABA,BABA,BABA,BABA,BABA,BABA
Date,,,,,,
2014-09-19,89.16686248779297,93.88999938964844,99.69999694824219,89.94999694824219,92.69999694824219,271879400
2014-09-22,85.36808776855469,89.88999938964844,92.94999694824219,89.5,92.69999694824219,66657800
2014-09-23,82.784912109375,87.16999816894531,90.4800033569336,86.62000274658203,88.94000244140625,39009800
2014-09-24,86.01387786865234,90.56999969482422,90.56999969482422,87.22000122070312,88.47000122070312,32088000
2014-09-25,84.4468765258789,88.91999816894531,91.5,88.5,91.08999633789062,28598000
2014-09-26,85.90940856933594,90.45999908447266,90.45999908447266,88.66000366210938,89.7300033569336,18340000
2014-09-29,84.2854232788086,88.75,89.69999694824219,88.0199966430664,89.62000274658203,25302000
2014-09-30,84.38040161132812,88.8499984741211,90.87999725341797,88.45999908447266,89.0,24419400
2014-10-01,81.76874542236328,86.0999984741211,88.94000244140625,86.04000091552734,88.69999694824219,24029600
2014-10-02,82.6804428100586,87.05999755859375,88.19999694824219,85.61100006103516,86.2699966430664,21469700
2014-10-03,83.66813659667969,88.0999984741211,89.94000244140625,87.6500015258789,88.0999984741211,18485700
2014-10-06,83.86756134033203,88.30999755859375,89.6500015258789,88.05999755859375,89.1500015258789,9268400
2014-10-07,83.25975799560547,87.66999816894531,89.69999694824219,87.05999755859375,87.94999694824219,12791700
2014-10-08,83.85807800292969,88.30000305175781,88.5,87.05999755859375,88.0,10252600
2014-10-09,84.32341766357422,88.79000091552734,90.3499984741211,88.0,88.51000213623047,21507000
2014-10-10,81.55980682373047,85.87999725341797,88.73999786376953,85.23999786376953,88.25,15431400
2014-10-13,80.83804321289062,85.12000274658203,86.88999938964844,84.91999816894531,86.8499984741211,14845000
2014-10-14,80.67658996582031,84.94999694824219,85.87999725341797,83.22000122070312,85.80999755859375,15559200
2014-10-15,81.29389190673828,85.5999984741211,86.48999786376953,82.80999755859375,84.04000091552734,16824300
2014-10-16,84.38040161132812,88.8499984741211,89.17500305175781,84.01499938964844,84.9800033569336,15232000
2014-10-17,83.4876937866211,87.91000366210938,90.9000015258789,87.66999816894531,90.4000015258789,17360700
2014-10-20,83.82008361816406,88.26000213623047,89.5,87.86000061035156,88.0,9891400
2014-10-21,86.32728576660156,90.9000015258789,92.5,88.5,89.0999984741211,23243800
2014-10-22,87.02054595947266,91.62999725341797,93.5,91.01000213623047,92.25,20364500
2014-10-23,89.69869232177734,94.44999694824219,94.69999694824219,92.81999969482422,92.91999816894531,20641000
2014-10-24,90.94279479980469,95.76000213623047,98.0,94.77999877929688,95.06999969482422,32132600
2014-10-27,92.87067413330078,97.79000091552734,98.8499984741211,96.30000305175781,97.0,28302400
2014-10-28,94.66560363769531,99.68000030517578,100.66999816894531,98.61000061035156,99.83999633789062,32127600
2014-10-29,93.36451721191406,98.30999755859375,100.0,96.81999969482422,99.87999725341797,28655400
2014-10-30,93.76338958740234,98.7300033569336,99.44000244140625,97.30000305175781,98.4800033569336,15484600
2014-10-31,93.63992309570312,98.5999984741211,100.22000122070312,98.13600158691406,100.0999984741211,18128300
2014-11-03,96.678955078125,101.80000305175781,102.80000305175781,99.05000305175781,99.66999816894531,40883700
2014-11-04,100.73414611816406,106.06999969482422,106.35900115966797,99.51000213623047,100.42500305175781,67814000
2014-11-05,103.20335388183594,108.66999816894531,110.13999938964844,106.4800033569336,108.4800033569336,48344000
2014-11-06,105.95746612548828,111.56999969482422,111.69999694824219,107.20999908447266,109.30000305175781,33609000
2014-11-07,108.79705810546875,114.55999755859375,114.7699966430664,111.75,112.93000030517578,51457000
2014-11-10,113.15615844726562,119.1500015258789,119.44999694824219,115.19999694824219,117.2699966430664,75971000
2014-11-11,108.77806091308594,114.54000091552734,117.55000305175781,113.69000244140625,117.25,70983600
2014-11-12,112.25394439697266,118.19999694824219,119.06999969482422,114.0199966430664,115.05000305175781,53908000
2014-11-13,109.06297302246094,114.83999633789062,120.0,114.55000305175781,119.30000305175781,62163000
2014-11-14,109.30989837646484,115.0999984741211,115.38999938964844,113.3499984741211,115.05999755859375,29849000
2014-11-17,108.50265502929688,114.25,115.62999725341797,113.12999725341797,115.44000244140625,22573000
2014-11-18,105.2356948852539,110.80999755859375,114.37999725341797,110.41000366210938,114.33000183105469,41098000
2014-11-19,103.34580993652344,108.81999969482422,110.68000030517578,107.22000122070312,109.83000183105469,46841000
2014-11-20,104.29550170898438,109.81999969482422,112.44000244140625,107.26000213623047,107.80999755859375,36489000
2014-11-21,105.15972900390625,110.7300033569336,113.5,110.43499755859375,113.20999908447266,27432000
