Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WMT,WMT,WMT,WMT,WMT,WMT
Date,,,,,,
1997-01-02,2.409559726715088,3.8333330154418945,3.8541669845581055,3.75,3.8333330154418945,22344600
1997-01-03,2.370272159576416,3.7708330154418945,3.8541669845581055,3.7708330154418945,3.8333330154418945,16846200
1997-01-06,2.3178906440734863,3.6875,3.8333330154418945,3.6666669845581055,3.8125,28442400
1997-01-07,2.5012283325195312,3.9791669845581055,3.9791669845581055,3.75,3.75,41604600
1997-01-08,2.475037097930908,3.9375,4.0416669845581055,3.9166669845581055,4.0208330154418945,26751000
1997-01-09,2.5012283325195312,3.9791669845581055,4.0208330154418945,3.9375,3.9375,22837200
1997-01-10,2.514322519302368,4.0,4.0208330154418945,3.9166669845581055,3.9166669845581055,21597000
1997-01-13,2.4619412422180176,3.9166669845581055,4.0208330154418945,3.875,4.0,15412200
1997-01-14,2.4619412422180176,3.9166669845581055,3.9791669845581055,3.8958330154418945,3.9583330154418945,34357800
1997-01-15,2.4226555824279785,3.8541669845581055,3.8958330154418945,3.8125,3.875,22998000
1997-01-16,2.4226555824279785,3.8541669845581055,3.875,3.7916669845581055,3.875,23649000
1997-01-17,2.4488446712493896,3.8958330154418945,3.8958330154418945,3.7916669845581055,3.875,36319800
1997-01-20,2.3964645862579346,3.8125,3.9270830154418945,3.8125,3.9166669845581055,15415200
1997-01-21,2.3964645862579346,3.8125,3.8541669845581055,3.7916669845581055,3.8125,32606400
1997-01-22,2.4226555824279785,3.8541669845581055,3.8541669845581055,3.7916669845581055,3.8125,24020400
1997-01-23,2.383368492126465,3.7916669845581055,3.875,3.7916669845581055,3.8333330154418945,45328800
1997-01-24,2.409559726715088,3.8333330154418945,3.8541669845581055,3.7916669845581055,3.8125,21086400
1997-01-27,2.3964645862579346,3.8125,3.8333330154418945,3.7916669845581055,3.8125,24916200
1997-01-28,2.3964645862579346,3.8125,3.875,3.8125,3.8333330154418945,26057400
1997-01-29,2.409559726715088,3.8333330154418945,3.8541669845581055,3.8125,3.8333330154418945,17938800
1997-01-30,2.4357497692108154,3.875,3.875,3.8333330154418945,3.8333330154418945,19599000
1997-01-31,2.488131523132324,3.9583330154418945,4.0416669845581055,3.875,3.875,34239600
1997-02-03,2.4488446712493896,3.8958330154418945,3.9583330154418945,3.875,3.9583330154418945,15994800
1997-02-04,2.4619412422180176,3.9166669845581055,3.9166669845581055,3.875,3.8958330154418945,13087200
1997-02-05,2.4226555824279785,3.8541669845581055,4.0208330154418945,3.8333330154418945,3.9375,30084600
1997-02-06,2.475037097930908,3.9375,3.9791669845581055,3.8958330154418945,3.9166669845581055,23266200
1997-02-07,2.5012283325195312,3.9791669845581055,4.0,3.9375,4.0,23305200
1997-02-10,2.566704750061035,4.0833330154418945,4.0833330154418945,4.0208330154418945,4.0208330154418945,22379400
1997-02-11,2.566704750061035,4.0833330154418945,4.1458330154418945,4.0625,4.0833330154418945,24908400
1997-02-12,2.6190857887268066,4.1666669845581055,4.1666669845581055,4.1041669845581055,4.125,21640800
1997-02-13,2.6059911251068115,4.1458330154418945,4.1875,4.1041669845581055,4.1666669845581055,29796000
1997-02-14,2.5798001289367676,4.1041669845581055,4.1458330154418945,4.0625,4.1458330154418945,18484800
1997-02-18,2.6059911251068115,4.1458330154418945,4.1458330154418945,4.0,4.1041669845581055,23056800
1997-02-19,2.5536084175109863,4.0625,4.125,4.0625,4.1041669845581055,21810000
1997-02-20,2.488131523132324,3.9583330154418945,4.0625,3.9166669845581055,4.0625,24478200
1997-02-21,2.514322519302368,4.0,4.0208330154418945,3.9583330154418945,3.9583330154418945,24815400
1997-02-24,2.5798001289367676,4.1041669845581055,4.125,3.9583330154418945,3.9791669845581055,22258200
1997-02-25,2.763136148452759,4.3958330154418945,4.4375,4.125,4.1875,67507200
1997-02-26,2.802421808242798,4.4583330154418945,4.5,4.3125,4.4375,56363400
1997-02-27,2.802421808242798,4.4583330154418945,4.5,4.4375,4.4583330154418945,34198800
1997-02-28,2.763136148452759,4.3958330154418945,4.4791669845581055,4.3958330154418945,4.4791669845581055,21207000
1997-03-03,2.828612804412842,4.5,4.5208330154418945,4.375,4.375,25725000
1997-03-04,2.776230573654175,4.4166669845581055,4.5625,4.4166669845581055,4.5208330154418945,18439800
1997-03-05,2.7893271446228027,4.4375,4.4583330154418945,4.375,4.4375,17933400
1997-03-06,2.8548049926757812,4.5416669845581055,4.5625,4.4375,4.5,38880600
1997-03-07,2.8548049926757812,4.5416669845581055,4.6145830154418945,4.5416669845581055,4.5833330154418945,21464400
1997-03-10,2.86789870262146,4.5625,4.6145830154418945,4.5625,4.5833330154418945,21765600
1997-03-11,2.907186508178711,4.625,4.625,4.5416669845581055,4.5833330154418945,23337600
1997-03-12,3.0119502544403076,4.7916669845581055,4.7916669845581055,4.625,4.6458330154418945,61834800
1997-03-13,3.0381407737731934,4.8333330154418945,4.9375,4.7916669845581055,4.9375,61971000
1997-03-14,3.0119502544403076,4.7916669845581055,4.8333330154418945,4.6458330154418945,4.8333330154418945,38955600
1997-03-17,3.0322155952453613,4.8125,4.8333330154418945,4.6875,4.7708330154418945,24735600
1997-03-18,3.0584685802459717,4.8541669845581055,4.8541669845581055,4.7708330154418945,4.8333330154418945,31293600
1997-03-19,3.137227773666382,4.9791669845581055,4.9791669845581055,4.9166669845581055,4.9375,57570600
1997-03-20,3.0847222805023193,4.8958330154418945,4.9791669845581055,4.875,4.9583330154418945,33379800
1997-03-21,3.124101161956787,4.9583330154418945,4.9791669845581055,4.8958330154418945,4.8958330154418945,35789400
1997-03-24,3.124101161956787,4.9583330154418945,4.9791669845581055,4.9166669845581055,4.9791669845581055,22221000
1997-03-25,3.0715949535369873,4.875,4.9791669845581055,4.8541669845581055,4.9791669845581055,49317600
1997-03-26,3.1109743118286133,4.9375,4.9375,4.8541669845581055,4.875,37942200
1997-03-27,3.0322155952453613,4.8125,4.9375,4.7083330154418945,4.9166669845581055,27013800
1997-03-31,2.92720365524292,4.6458330154418945,4.8333330154418945,4.6041669845581055,4.7708330154418945,36329400
1997-04-01,2.914078950881958,4.625,4.6666669845581055,4.5833330154418945,4.6041669845581055,22222200
1997-04-02,2.914078950881958,4.625,4.6458330154418945,4.5833330154418945,4.6041669845581055,21367200
1997-04-03,2.914078950881958,4.625,4.6458330154418945,4.5833330154418945,4.625,30064800
1997-04-04,2.92720365524292,4.6458330154418945,4.6458330154418945,4.5625,4.6041669845581055,24543600
1997-04-07,2.9403302669525146,4.6666669845581055,4.6875,4.6041669845581055,4.625,11898000
1997-04-08,3.0059633255004883,4.7708330154418945,4.7708330154418945,4.6041669845581055,4.6458330154418945,20295000
1997-04-09,3.0059633255004883,4.7708330154418945,4.8125,4.7291669845581055,4.7916669845581055,20265600
1997-04-10,2.9797115325927734,4.7291669845581055,4.75,4.6875,4.7291669845581055,14710200
1997-04-11,2.900951385498047,4.6041669845581055,4.7083330154418945,4.6041669845581055,4.6666669845581055,18838200
1997-04-14,2.914078950881958,4.625,4.6458330154418945,4.5208330154418945,4.5833330154418945,19567800
1997-04-15,2.992835760116577,4.75,4.75,4.6458330154418945,4.6666669845581055,17716800
1997-04-16,2.9403302669525146,4.6666669845581055,4.7291669845581055,4.6458330154418945,4.7291669845581055,27028800
1997-04-17,2.92720365524292,4.6458330154418945,4.6875,4.625,4.6666669845581055,12475200
1997-04-18,2.9534566402435303,4.6875,4.6875,4.6458330154418945,4.6458330154418945,18837600
1997-04-21,2.914078950881958,4.625,4.6666669845581055,4.6041669845581055,4.6666669845581055,15478200
1997-04-22,2.914078950881958,4.625,4.6458330154418945,4.5625,4.625,18840000
1997-04-23,2.9403302669525146,4.6666669845581055,4.7291669845581055,4.625,4.6458330154418945,18711000
1997-04-24,2.8878254890441895,4.5833330154418945,4.6666669845581055,4.5833330154418945,4.6458330154418945,12900000
1997-04-25,2.848444700241089,4.5208330154418945,4.625,4.5208330154418945,4.6041669845581055,12228000
1997-04-28,2.914078950881958,4.625,4.6458330154418945,4.5,4.5,12478800
1997-04-29,2.914078950881958,4.625,4.6875,4.5625,4.6875,16822200
1997-04-30,2.9534566402435303,4.6875,4.75,4.6041669845581055,4.625,25583400
1997-05-01,2.966583490371704,4.7083330154418945,4.7083330154418945,4.6458330154418945,4.6666669845581055,15962400
1997-05-02,2.9797115325927734,4.7291669845581055,4.7291669845581055,4.6875,4.7083330154418945,15471600
1997-05-05,2.9797115325927734,4.7291669845581055,4.7708330154418945,4.6458330154418945,4.7291669845581055,37153200
1997-05-06,2.9797115325927734,4.7291669845581055,4.75,4.6666669845581055,4.7083330154418945,24093600
1997-05-07,2.966583490371704,4.7083330154418945,4.8020830154418945,4.6666669845581055,4.7708330154418945,19473600
1997-05-08,3.0715949535369873,4.875,4.8958330154418945,4.7291669845581055,4.7291669845581055,31178400
1997-05-09,3.0453438758850098,4.8333330154418945,4.875,4.7916669845581055,4.875,15476400
1997-05-12,3.124101161956787,4.9583330154418945,4.9791669845581055,4.8229169845581055,4.8229169845581055,21830400
1997-05-13,3.1503517627716064,5.0,5.03125,4.8333330154418945,5.0,42365400
1997-05-14,3.163480281829834,5.0208330154418945,5.0416669845581055,5.0,5.0208330154418945,26905800
1997-05-15,3.202860116958618,5.0833330154418945,5.0833330154418945,4.9791669845581055,5.0,21238800
1997-05-16,3.137227773666382,4.9791669845581055,5.0833330154418945,4.9791669845581055,5.0833330154418945,28133400
1997-05-19,3.202860116958618,5.0833330154418945,5.0833330154418945,4.9791669845581055,5.0,13834200
1997-05-20,3.202860116958618,5.0833330154418945,5.0833330154418945,5.0416669845581055,5.0416669845581055,12769200
1997-05-21,3.1503517627716064,5.0,5.1041669845581055,4.9791669845581055,5.0833330154418945,21876000
1997-05-22,3.124101161956787,4.9583330154418945,5.0416669845581055,4.9166669845581055,5.0208330154418945,12310800
1997-05-23,3.163480281829834,5.0208330154418945,5.0208330154418945,4.9583330154418945,5.0,8932200
1997-05-27,3.137227773666382,4.9791669845581055,5.0208330154418945,4.9166669845581055,4.9375,11031000
1997-05-28,3.1503517627716064,5.0,5.0208330154418945,4.9583330154418945,4.9791669845581055,15462600
1997-05-29,3.163480281829834,5.0208330154418945,5.0625,4.9583330154418945,5.0,13495200
1997-05-30,3.137227773666382,4.9791669845581055,5.0,4.9583330154418945,5.0,14499600
1997-06-02,3.18973445892334,5.0625,5.1041669845581055,4.9791669845581055,5.0,20992800
1997-06-03,3.242239475250244,5.1458330154418945,5.1875,5.0833330154418945,5.0833330154418945,24063000
1997-06-04,3.242239475250244,5.1458330154418945,5.2083330154418945,5.1041669845581055,5.125,21122400
1997-06-05,3.2553672790527344,5.1666669845581055,5.1979169845581055,5.1458330154418945,5.1666669845581055,17305200
1997-06-06,3.2947466373443604,5.2291669845581055,5.2291669845581055,5.1041669845581055,5.125,15574800
1997-06-09,3.3472514152526855,5.3125,5.3125,5.2395830154418945,5.2708330154418945,17556600
1997-06-10,3.2947466373443604,5.2291669845581055,5.3333330154418945,5.2291669845581055,5.3333330154418945,21424200
1997-06-11,3.2947466373443604,5.2291669845581055,5.25,5.1458330154418945,5.1666669845581055,22110600
